municipality,source_state,series_document_class,operational_document_class,fallback_relationship,filename,byte_size,sha256,acquisition_status
Adjuntas,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Adjuntas_sectores_inundables.pdf,8766921,73e64bd18eef5cd0746f3d3537098024348c16b31cef2287a073c0595814ee8f,downloaded
Aguada,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Aguada_sectores_in_floodzones.pdf,6608007,a5769a50ae546dc441c83f9d4359585eb65d1107c85a9333461a3848fa7d30a6,downloaded
Aguadilla,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Aguadilla_sectores_inundables.pdf,5941540,6f067c72c5559f418488b4ceb8d335d8cb1a0fdc40d920abc27f829af2767b43,downloaded
Aguas Buenas,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Aguas_Buenas_sectores_inundables.pdf,3532267,df6620778b493a4245e3f598ea7e075d7edf29414a828caa4eb3b5adb9a2797e,downloaded
Aibonito,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Aibonito_sectores_inundables.pdf,6780718,652427b63e46220103f85f9ce35972d60d8c9dface09cb911d675bd5e3041d38,downloaded
Añasco,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Anasco_sectores_inundables.pdf,9189812,e7785321305162b185a1ff16c3e759bfea5042e5d9c7b48ef1e6c0f855f97ee7,downloaded
Arecibo,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Arecibo_sectores_inundables.pdf,18892651,82eaae7a43ff2d0a978b96fb0baba1bccc1457b0df3a3622e3d249d11beb4630,downloaded
Arroyo,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Arroyo_sectores_inundables.pdf,5870979,414d5af7019395d6514a4ed3d9b16736ac4417817d0dbacaf8a89f990922388f,downloaded
Barceloneta,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Barceloneta_sectores_inundables.pdf,12826530,6392dedfafe6dd304199df66c2dd55aef5de69bcb58de0dd1044b9ed4897f39c,downloaded
Barranquitas,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Baranquitas_sectores_inundables.pdf,4939541,c5a028159e2258236b7880f9be71193c88bdfecafbc163089b9dd8b9dc12c7bb,downloaded
Bayamón,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Bayamon_sectores_inundables.pdf,28621057,514ab27db6f9dbb2fa2b179623e89c9d7ad592129976a7388dd0a8577e9bdb11,downloaded
Cabo Rojo,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,CaboRojo_sectores_inundables.pdf,17991954,256579e27cad03bc6a745189b479e2da3eab8dac01a612d22005628c12e365a0,downloaded
Caguas,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Caguas_sectores_inundables.pdf,10680582,692560b454e3cbab32e48c25f1c6d71007434272c2403c92a7900e0df3168754,downloaded
Camuy,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Camuy_sectores_inundables.pdf,2805323,c892b11fe40dc6742539afd4976aff182608bcec83794eec0771e580952ecffa,downloaded
Canóvanas,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Canovanas_sectores_inundables.pdf,13080025,5c2169b2acc41d36185943e44c9326ea25b4d4e6ffe95043447e3bbd111193ca,downloaded
Carolina,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Carolina_sectores_inundables.pdf,25129036,3dfcadc9936262e53ba68592746ebc471350735857c048ae93a81e91e020907a,downloaded
Cataño,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Catano_sectores_inundables.pdf,8498458,d4c31577e0d86a0862b86e23645dcf840e9f672d73750be492b0ca7f1cb700c9,downloaded
Cayey,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Cayey_sectores_inundables.pdf,9383074,414608c132d56b028fcfc20b4d22755e09234a2e2e31b8779f3bcf671db74ec3,downloaded
Ceiba,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Ceiba_sectores_inundables.pdf,10761393,e79b9ec0f89562591eeb066cafc25f76c8580620e2147c341966f287b8f0133c,downloaded
Ciales,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Ciales_sectores_inundables.pdf,6747980,f45d48fff287c723ae72dd174410735188b964c21ea2e84bebd95d8411366d4a,downloaded
Cidra,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Cidra_sectores_inundables.pdf,9761355,b49e520b83744bd9af97cdb9637acfa10cc728b0caa8ffd3358bfcad9099d674,downloaded
Coamo,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Coamo_sectores_inundables.pdf,6216379,7ef625ab0b7be861ccf8af7ece85e8bafdb3e1cf04285e1bf272140702722baa,downloaded
Comerío,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Comerio_sectores_inundables.pdf,6020934,ab859aa46f1dbc717a1e8615bc90842498a3b0e62d9389ba658ac46b3535adc1,downloaded
Corozal,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Corozal_sectores_inundables.pdf,5587456,394852b107e136ee0712103813df7a958f4a27eadd26ee0bdbe3298bbf9df6a0,downloaded
