dataset_id,source_family,name,area,year,horizontal_datum,vertical_datum,resolution_arcsec,status,source_url,access_method,raw_commit_allowed,priority,notes
san_juan_19_prvd02_2015,NCEI_REGIONAL_DEM,San Juan 1/9 arc-second DEM,San Juan,2015,WGS84,PRVD02,1/9,live_thredds,https://www.ngdc.noaa.gov/thredds/fileServer/regional/san_juan_19_prvd02_2015.nc,THREDDS,false,P0,Highest-priority complete San Juan PRVD02 coastal bathymetric-topographic DEM.
puerto_rico_cudem_19,NOAA_CUDEM_TILE,Puerto Rico CUDEM 1/9 arc-second bathymetric-topographic tiles,Puerto Rico,current,WGS84,source_dependent,1/9,live_cudem_access,https://www.ncei.noaa.gov/metadata/geoportal/rest/metadata/item/gov.noaa.ngdc.mgg.dem%3A399919/html,NOAA_METADATA,false,P0,Islandwide current CUDEM access; exact tiles are selected through NOAA/NCEI access services.
puerto_rico_cudem_13,NOAA_CUDEM_TILE,Puerto Rico CUDEM 1/3 arc-second bathymetric-topographic tiles,Puerto Rico,current,WGS84,source_dependent,1/3,live_cudem_access,https://www.ncei.noaa.gov/metadata/geoportal/rest/metadata/item/gov.noaa.ngdc.mgg.dem%3A199913/html,NOAA_METADATA,false,P0,Lower-resolution islandwide fallback; keep lineage separate from older regional DEMs.
arecibo_13_mhw_2007,NCEI_REGIONAL_DEM,Arecibo 1/3 arc-second DEM,Arecibo,2007,WGS84,MHW,1/3,live_thredds,https://www.ngdc.noaa.gov/thredds/fileServer/regional/arecibo_13_mhw_2007.nc,THREDDS,false,P1,North coast regional DEM; do not merge with PRVD02 surfaces without transformation metadata.
fajardo_13_mhw_2007,NCEI_REGIONAL_DEM,Fajardo 1/3 arc-second DEM,Fajardo,2007,WGS84,MHW,1/3,live_thredds,https://www.ngdc.noaa.gov/thredds/fileServer/regional/fajardo_13_mhw_2007.nc,THREDDS,false,P1,Northeast coastal-maritime context; MHW datum.
guayama_13_mhw_2007,NCEI_REGIONAL_DEM,Guayama 1/3 arc-second DEM,Guayama,2007,WGS84,MHW,1/3,live_thredds,https://www.ngdc.noaa.gov/thredds/fileServer/regional/guayama_13_mhw_2007.nc,THREDDS,false,P1,Southeast coastal context; MHW datum.
mayaguez_13_mhw_2006,NCEI_REGIONAL_DEM,Mayaguez 2006 1/3 arc-second DEM,Mayaguez,2006,WGS84,MHW,1/3,live_thredds,https://www.ngdc.noaa.gov/thredds/fileServer/regional/mayaguez_13_mhw_2006.nc,THREDDS,false,P1,West coast regional DEM; compare with 2007 Mayaguez entry before promotion.
mayaguez_13_mhw_2007,NCEI_REGIONAL_DEM,Mayaguez 2007 1/3 arc-second DEM,Mayaguez,2007,WGS84,MHW,1/3,live_thredds,https://www.ngdc.noaa.gov/thredds/fileServer/regional/mayaguez_13_mhw_2007.nc,THREDDS,false,P1,West coast regional DEM; compare with 2006 Mayaguez entry before promotion.
ponce_13_mhw_2007,NCEI_REGIONAL_DEM,Ponce 1/3 arc-second DEM,Ponce,2007,WGS84,MHW,1/3,live_thredds,https://www.ngdc.noaa.gov/thredds/fileServer/regional/ponce_13_mhw_2007.nc,THREDDS,false,P1,South coast regional DEM; MHW datum.
st_croix_13_mhw_2014,NCEI_REGIONAL_DEM,St. Croix 1/3 arc-second DEM,St. Croix,2014,WGS84,MHW,1/3,live_thredds,https://www.ngdc.noaa.gov/thredds/fileServer/regional/st_croix_13_mhw_2014.nc,THREDDS,false,P2,Regional comparator only; not primary Puerto Rico island coverage.
st_thomas_st_john_13_mhw_2014,NCEI_REGIONAL_DEM,St. Thomas and St. John 1/3 arc-second DEM,St. Thomas and St. John,2014,WGS84,MHW,1/3,live_thredds,https://www.ngdc.noaa.gov/thredds/fileServer/regional/st_thomas_st_john_13_mhw_2014.nc,THREDDS,false,P2,Regional comparator only; useful for eastern maritime context.
