source_id,source_file,source_report,geometry_source,source_x_m,source_y_m,conversion_crs,conversion_status,longitude,latitude
metallic_e00_lab_001,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,57044.789,8997.828,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.46112062,18.08054733
metallic_e00_lab_002,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,1.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99999056,18.0
metallic_e00_lab_003,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,56608.547,7920.765,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.46527106,18.07082748
metallic_e00_lab_004,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,2.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99998112,18.0
metallic_e00_lab_005,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,56939.141,5893.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.462204,18.05249786
metallic_e00_lab_006,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,3.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99997167,18.0
metallic_e00_lab_007,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,57936.984,6079.59,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.45277411,18.05415726
metallic_e00_lab_008,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,4.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99996223,18.0
metallic_e00_lab_009,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,58671.297,6328.77,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.44583137,18.05638885
metallic_e00_lab_010,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,5.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99995279,18.0
metallic_e00_lab_011,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,59907.164,6854.792,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.43414309,18.06110763
metallic_e00_lab_012,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,6.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99994335,18.0
metallic_e00_lab_013,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,55464.172,37524.992,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.47528079,18.33832927
metallic_e00_lab_014,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,7.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.9999339,18.0
metallic_e00_lab_015,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,61224.289,36373.305,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.42082215,18.32776636
metallic_e00_lab_016,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,8.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99992446,18.0
metallic_e00_lab_017,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,53446.906,35028.609,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.49443058,18.31582641
metallic_e00_lab_018,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,9.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99991502,18.0
metallic_e00_lab_019,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,53595.664,34321.797,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.49304203,18.30943674
metallic_e00_lab_020,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,10.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99990558,18.0
metallic_e00_lab_021,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,55273.992,32974.164,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.47720344,18.29721828
metallic_e00_lab_022,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,11.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99989613,18.0
metallic_e00_lab_023,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,55834.68,32114.449,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.47192385,18.28943631
metallic_e00_lab_024,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,12.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99988669,18.0
metallic_e00_lab_025,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,15277.781,24660.918,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.85556031,18.22276685
metallic_e00_lab_026,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,13.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99987725,18.0
metallic_e00_lab_027,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,55602.141,31069.207,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.47415163,18.27999876
metallic_e00_lab_028,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,14.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99986781,18.0
metallic_e00_lab_029,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,15867.934,23371.148,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.84999085,18.21110915
