source_file,layer_id,geometry_type,conversion_status,priority
central.e00,pr_geology_central,polygon/line,raw_e00_pending_full_conversion,High
east.e00,pr_geology_east,polygon/line,raw_e00_pending_full_conversion,High
west.e00,pr_geology_west,polygon/line,raw_e00_pending_full_conversion,High
faultc.e00,pr_faults_central,line,raw_e00_pending_full_conversion,High
faulte.e00,pr_faults_east,line,raw_e00_pending_full_conversion,High
faultw.e00,pr_faults_west,line,raw_e00_pending_full_conversion,High
gravity.e00,pr_gravity_bouguer,line/polygon,raw_e00_pending_full_conversion,High
gravsta.e00,pr_gravity_stations,point,raw_e00_pending_full_conversion,High
magnetic.e00,pr_magnetic_composite,line/polygon,raw_e00_pending_full_conversion,High
metallic.e00,pr_metallic_occurrences,point,geojson_csv_gpkg_derivative_created,High
nonmet.e00,pr_nonmetallic_occurrences,point,raw_e00_pending_full_conversion,High
permau.e00,pr_permissive_au_terranes,polygon,raw_e00_pending_full_conversion,High
permsk.e00,pr_permissive_skarn_terranes,polygon,raw_e00_pending_full_conversion,High
placer.e00,pr_gold_placer_drainages,line,raw_e00_pending_full_conversion,Medium-High
vieques.e00,vieques_geologic_terrane,polygon/line,raw_e00_pending_full_conversion,High
mona.e00,mona_geologic_terrane,polygon/line,raw_e00_pending_full_conversion,Medium-High
prout.e00,pr_outline,polygon/line,raw_e00_pending_full_conversion,High
