code,name,input_name,input_value
72001,Adjuntas Municipio,county1,72001
72003,Aguada Municipio,county2,72003
72005,Aguadilla Municipio,county3,72005
72007,Aguas Buenas Municipio,county4,72007
72009,Aibonito Municipio,county5,72009
72011,A asco Municipio,county6,72011
72013,Arecibo Municipio,county7,72013
72015,Arroyo Municipio,county8,72015
72017,Barceloneta Municipio,county9,72017
72019,Barranquitas Municipio,county10,72019
72021,Bayam n Municipio,county11,72021
72023,Cabo Rojo Municipio,county12,72023
72025,Caguas Municipio,county13,72025
72027,Camuy Municipio,county14,72027
72029,Can vanas Municipio,county15,72029
72031,Carolina Municipio,county16,72031
72033,Cata o Municipio,county17,72033
72035,Cayey Municipio,county18,72035
72037,Ceiba Municipio,county19,72037
72039,Ciales Municipio,county20,72039
72041,Cidra Municipio,county21,72041
72043,Coamo Municipio,county22,72043
72045,Comer o Municipio,county23,72045
72047,Corozal Municipio,county24,72047
72049,Culebra Municipio,county25,72049
72051,Dorado Municipio,county26,72051
72053,Fajardo Municipio,county27,72053
72054,Florida Municipio,county28,72054
72055,Gu nica Municipio,county29,72055
72057,Guayama Municipio,county30,72057
72059,Guayanilla Municipio,county31,72059
72061,Guaynabo Municipio,county32,72061
72063,Gurabo Municipio,county33,72063
72065,Hatillo Municipio,county34,72065
72067,Hormigueros Municipio,county35,72067
72069,Humacao Municipio,county36,72069
72071,Isabela Municipio,county37,72071
72073,Jayuya Municipio,county38,72073
72075,Juana D az Municipio,county39,72075
72077,Juncos Municipio,county40,72077
72079,Lajas Municipio,county41,72079
72081,Lares Municipio,county42,72081
72083,Las Mar as Municipio,county43,72083
72085,Las Piedras Municipio,county44,72085
72087,Lo za Municipio,county45,72087
72089,Luquillo Municipio,county46,72089
72091,Manat Municipio,county47,72091
72093,Maricao Municipio,county48,72093
72095,Maunabo Municipio,county49,72095
72097,Mayag ez Municipio,county50,72097
72099,Moca Municipio,county51,72099
72101,Morovis Municipio,county52,72101
72103,Naguabo Municipio,county53,72103
72105,Naranjito Municipio,county54,72105
72107,Orocovis Municipio,county55,72107
72109,Patillas Municipio,county56,72109
72111,Pe uelas Municipio,county57,72111
72113,Ponce Municipio,county58,72113
72115,Quebradillas Municipio,county59,72115
72117,Rinc n Municipio,county60,72117
72119,R o Grande Municipio,county61,72119
72121,Sabana Grande Municipio,county62,72121
72123,Salinas Municipio,county63,72123
72125,San Germ n Municipio,county64,72125
72127,San Juan Municipio,county65,72127
72129,San Lorenzo Municipio,county66,72129
72131,San Sebasti n Municipio,county67,72131
72133,Santa Isabel Municipio,county68,72133
72135,Toa Alta Municipio,county69,72135
72137,Toa Baja Municipio,county70,72137
72139,Trujillo Alto Municipio,county71,72139
72141,Utuado Municipio,county72,72141
72143,Vega Alta Municipio,county73,72143
72145,Vega Baja Municipio,county74,72145
72147,Vieques Municipio,county75,72147
72149,Villalba Municipio,county76,72149
72151,Yabucoa Municipio,county77,72151
72153,Yauco Municipio,county78,72153
