batch_id,municipios
pr72_72001_72003_72005_72007_72009,72001;72003;72005;72007;72009
pr72_72011_72013_72015_72017_72019,72011;72013;72015;72017;72019
pr72_72021_72023_72025_72027_72029,72021;72023;72025;72027;72029
pr72_72031_72033_72035_72037_72039,72031;72033;72035;72037;72039
pr72_72041_72043_72045_72047_72049,72041;72043;72045;72047;72049
pr72_72051_72053_72054_72055_72057,72051;72053;72054;72055;72057
pr72_72059_72061_72063_72065_72067,72059;72061;72063;72065;72067
pr72_72069_72071_72073_72075_72077,72069;72071;72073;72075;72077
pr72_72079_72081_72083_72085_72087,72079;72081;72083;72085;72087
pr72_72089_72091_72093_72095_72097,72089;72091;72093;72095;72097
pr72_72099_72101_72103_72105_72107,72099;72101;72103;72105;72107
pr72_72109_72111_72113_72115_72117,72109;72111;72113;72115;72117
pr72_72119_72121_72123_72125_72127,72119;72121;72123;72125;72127
pr72_72129_72131_72133_72135_72137,72129;72131;72133;72135;72137
pr72_72139_72141_72143_72145_72147,72139;72141;72143;72145;72147
pr72_72149_72151_72153,72149;72151;72153
